TradingPeriod,PowerMW
1,970
2,951.3
3,945
4,930
5,912.3
6,899.2
7,881.8
8,872.8
9,865.8
10,855
11,869.05
12,913.5
13,985.85
14,1055.7
15,1164.4
16,1195.65
17,1235.9
18,1250
19,1250
20,1243.4
21,1220.75
22,1215
23,1213.95
24,1203.85
25,1201.55
26,1195.8
27,1160.6
28,1142.85
29,1131.825
30,1120.8
31,1115
32,1129.9
33,1139.35
34,1169.4
35,1204.45
36,1222.3
37,1243.55
38,1271.25
39,1301.8
40,1305
41,1275.25
42,1290
43,1271.35
44,1254.95
45,1217.65
46,1164.45
47,1108
48,1063
